item_code,item_description,supplier_name,code
10303000,51mm (w) x 32mm (h) Flexible Track 3000           ,RONDO,67010
10503000,76mm Flexible Track 3000                          ,RONDO,16010
10603000,92mm Flexible Track 3000                          ,RONDO,16010
10703000,64mm Flex Defl Head Track 3000                    ,RONDO,16010
10803000,76mm Flex Defl Head Track 3000                    ,RONDO,16010
10903000,92mm Flex Defl Head Track 3000                    ,RONDO,16010
11003000,150mm Flexible Track 3000                         ,RONDO,16010
11103000,Track 64mm X 0.50 Bmt 3000                        ,RONDO,16010
11103600,Track 64mm x 0.50 Bmt 3600 w/hem                  ,RONDO,16010
11202400,Stud 64mm X 0.50 Bmt 2400                         ,RONDO,16010
11202700,Stud 64mm X 0.50 Bmt 2700                         ,RONDO,16010
11202725,Stud 64mm X 0.50 Bmt 2725                         ,RONDO,16010
11202730,Stud 64mm X 0.50 Bmt 2730                         ,RONDO,16010
11202735,Stud 64mm X 0.50 Bmt 2735                         ,RONDO,16010
11202740,Stud 64mm X 0.50 Bmt 2740                         ,RONDO,16010
11202745,Stud 64mm X 0.50 Bmt 2745                         ,RONDO,16010
11202750,Stud 64mm X 0.50 Bmt 2750                         ,RONDO,16010
11202770,Stud 64mm X 0.50 Bmt 2770                         ,RONDO,16010
11202775,Stud 64mm X 0.50 Bmt 2775                         ,RONDO,16010
11202780,Stud 64mm X 0.50 Bmt 2780                         ,RONDO,16010
11202800,Stud 64mm x 0.50 Bmt 2800                         ,RONDO,16010
11202825,Stud 64mm X 0.50 Bmt 2825                         ,RONDO,16010
11202830,Stud 64mm x 0.50 Bmt 2830                         ,RONDO,16010
11202835,Stud 64mm x 0.50 Bmt 2835                         ,RONDO,16010
11202865 ,64mm x 36mm Steel Stud - 0.50 BMT @ 2865mm        ,RONDO,16010
11202880,64mmX36mm Steel Stud - 0.50bmt @2880mm            ,RONDO,67010
11202885,64mm x 36mm Steel Stud - 0.50 BMT @ 2885mm        ,RONDO,16010
11202890,64mm x 36mm Steel Stud - 0.50 BMT @ 2890mm        ,RONDO,16010
11202900,Stud 64mm X 0.50 Bmt 2900                         ,RONDO,16010
